Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
76_1;3712.567152;3735.643006;-2.04671885;13.81328547;1.0;3.0;3.0;3248.21186686;283.502994785;195.628303595;0.504415576606;220.0;266.07;0.451160742983;3.0;3.0;3959.40095779;294.872992684;198.992029393
76_2;3716.528488;3747.91775;-13.948892;16.80867732;1.0;3.0;3.0;5161.27882948;426.241131225;308.367698772;0.859202603959;220.0;266.07;0.451160742983;3.0;3.0;5161.27882948;426.241131225;308.367698772
76B;3698.669067;3708.341102;6.196160261;18.53443824;1.0;1.0;1.0;7.65007634677;0.987257375624;0.219342050492;0.00196391032875;220.0;276.21;0.43807843484;1.0;1.0;7.65007634677;0.987257375624;0.219342050492
77;3722.905612;3765.487832;-36.01769577;-4.819236356;1.0;3.0;3.0;28.3192632456;3.09942380431;1.11002208725;0.00640245615146;220.0;248.24;0.451160742983;3.0;3.0;29.4581867787;3.09942380431;1.17571970556
78;3746.559559;3806.486263;6.966560683;47.35193385;1.0;3.0;3.0;1341.91973563;181.660165818;49.3710353973;0.368817503084;220.0;254.67;0.451160742983;3.0;3.0;1341.91973563;181.660165818;49.3710353973
79;3811.466698;3837.838697;21.53682448;56.29019235;1.0;1.0;1.0;3.68348587689;0.785535216231;0.770581877535;0.0118011896203;230.0;261.76;0.448323730914;3.0;3.0;52.5252732441;12.4210646857;13.4114171395
80;3798.28975;3826.180277;-24.85967044;-6.577932113;1.0;3.0;3.0;1140.27038347;113.626006833;37.5413731002;0.324857453459;220.0;254.67;0.448323730914;3.0;3.0;2284.78677327;227.675120986;75.2225384029
81;3833.703146;3861.361179;-8.136467672;10.28919758;1.0;3.0;3.0;90.6276251556;6.18182708796;5.32164107561;0.019623011716;280.0;305.98;0.448323730914;3.0;3.0;90.6276251556;6.18182708796;5.32164107561
82;3850.551303;3878.535908;-53.67183328;-24.38850962;1.0;2.1;1.0;6.34750765506;1.10292518278;0.859116185488;0.0190314121097;280.0;338.34;0.448323730914;2.1;1.0;6.34750765506;1.10292518278;0.859116185488
83;3874.709413;3903.534371;10.70136062;31.08271187;1.0;3.0;3.0;28.3312523491;3.65450328195;1.13840612221;0.013228956436;300.0;356.59;0.446994647919;3.0;3.0;31.8169839507;3.65450328195;1.13840612221
84;3891.28269;3920.011524;-23.38389208;-3.24930821;1.0;3.0;3.0;64.4467466716;4.54136894642;2.31864920467;0.0156657758928;300.0;356.59;0.444445308449;3.0;3.0;69.9577547536;4.69158809905;2.43517062905
85;3909.931283;3947.058965;-10.42559593;44.00208576;1.0;2.2;2.0;35.7621030448;2.12469878829;1.57574098498;0.010353327252;300.0;356.59;0.435890664155;3.0;3.0;48.9472251426;2.79890993;2.07575639158
86;3943.780598;3955.395316;-52.23236898;-23.87304551;1.0;1.0;1.0;5.40690311459;0.866798362298;0.655989522352;0.0133829901574;300.0;356.59;0.428223676454;2.1;1.0;6.87114354665;1.10153554579;0.833637680878
87;3984.852651;4028.717221;-32.57114966;17.34874551;1.0;2.1;1.0;23.1879186269;1.34074424254;1.10734424002;0.00617347784764;290.0;370.33;0.423505565163;2.2;2.0;33.3168525516;1.92640740883;1.59105374493
88;4014.287103;4058.115097;-62.92458165;-31.02060674;1.0;1.0;1.0;0.0700660066516;0.0145213330305;0.0164261268402;0.000752154170702;290.0;370.33;0.397791490432;1.0;1.0;0.0700660066516;0.0145213330305;0.0164261268402
89;4070.37792;4095.957541;-42.49579118;-13.84791299;1.0;1.0;1.0;0.196985538444;0.027125020511;0.00820878391809;0.000131566135934;170.0;315.53;0.372523212893;1.0;1.0;0.196985538444;0.027125020511;0.00820878391809
93;3694.673277;3714.445259;24.19854879;46.10225252;1.0;1.0;1.0;0.140543853192;0.0424530271679;0.0610847998009;0.00183927600875;220.0;282.08;0.43807843484;1.0;1.0;0.140543853192;0.0424530271679;0.0610847998009
92;3676.621232;3697.624357;11.62910387;56.42171829;1.0;1.0;1.0;2.40327030722;0.412542053548;0.150509155744;0.00133413128714;220.0;284.86;0.429193829946;3.0;3.0;82.7626041499;14.2069140414;5.18315798283
91;4094.873088;4125.4025;-40.3616432;31.09707551;1.0;1.0;1.0;0.501298417359;0.0309182665612;0.0213642522826;0.000116863264383;170.0;305.53;0.372523212893;1.0;1.0;0.501298417359;0.0309182665612;0.0213642522826
90;4056.815382;4115.544225;2.840994953;49.13571603;1.0;1.0;1.0;0.585906825206;0.0372358167878;0.0281310845767;0.000148630005914;170.0;343.1;0.372523212893;1.0;1.0;0.585906825206;0.0372358167878;0.0281310845767
2;1955.365508;2006.583129;-44.92247101;-14.6994706;1.0;1.0;1.0;0.170567977283;0.0359387164531;0.0191821604088;0.000181208596704;170.0;235.2;0.404070731867;1.0;1.0;0.170567977283;0.0359387164531;0.0191821604088
