bldg_code;vulnerability
94081CI0277_01;1.0
94081CI0190_02;1.0
94081CI0191_06;1.0
94081CI0191_07;1.0
94081CI0175_01;1.0
94081CI0178_01;1.0
94081CI0191_01;1.0
94081CI0191_02;1.0
94081DJ0092_01;1.0
94081DJ0122_01;1.0
94081DJ0088_01;1.0
94081DJ0088_02;1.0
94081DJ0088_03;1.0
94081DJ0088_04;1.0
94081CI0231_01;1.0
94081CI0191_03;1.0
94081CI0191_09;1.0
94081CI0265_01;1.0
94081CI0097_01;1.0
94081CI0221_01;1.0
