ID;Descrizione;PK;x;y;z
Profilo Progetto;Profilo Progetto;2124808;1657972.38;8176662.35;-3.6
Profilo Progetto;Profilo Progetto;2124818;1657962.46;8176661.12;-3.52
Profilo Progetto;Profilo Progetto;2124828;1657952.55;8176659.79;-3.44
Profilo Progetto;Profilo Progetto;2124838;1657942.65;8176658.35;-3.36
Profilo Progetto;Profilo Progetto;2124848;1657932.78;8176656.78;-3.28
Profilo Progetto;Profilo Progetto;2124858;1657922.92;8176655.08;-3.2
Profilo Progetto;Profilo Progetto;2124868;1657913.1;8176653.23;-3.12
Profilo Progetto;Profilo Progetto;2124878;1657903.3;8176651.23;-3.04
Profilo Progetto;Profilo Progetto;2124888;1657893.53;8176649.08;-2.96
Profilo Progetto;Profilo Progetto;2124898;1657883.8;8176646.78;-2.88
Profilo Progetto;Profilo Progetto;2124908;1657874.11;8176644.33;-2.8
Profilo Progetto;Profilo Progetto;2124918;1657864.45;8176641.73;-2.72
Profilo Progetto;Profilo Progetto;2124928;1657854.83;8176638.99;-2.64
Profilo Progetto;Profilo Progetto;2124938;1657845.26;8176636.09;-2.56
Profilo Progetto;Profilo Progetto;2124948;1657835.73;8176633.05;-2.48
Profilo Progetto;Profilo Progetto;2124958;1657826.26;8176629.87;-2.4
Profilo Progetto;Profilo Progetto;2124968;1657816.83;8176626.54;-2.32
Profilo Progetto;Profilo Progetto;2124978;1657807.45;8176623.06;-2.24
Profilo Progetto;Profilo Progetto;2124988;1657798.13;8176619.45;-2.16
Profilo Progetto;Profilo Progetto;2124998;1657788.86;8176615.69;-2.08
Profilo Progetto;Profilo Progetto;2125008;1657779.65;8176611.78;-2
Profilo Progetto;Profilo Progetto;2125018;1657770.51;8176607.74;-1.92
Profilo Progetto;Profilo Progetto;2125028;1657761.42;8176603.56;-1.84
Profilo Progetto;Profilo Progetto;2125038;1657752.41;8176599.24;-1.76
Profilo Progetto;Profilo Progetto;2125048;1657743.46;8176594.78;-1.68
Profilo Progetto;Profilo Progetto;2125058;1657734.58;8176590.18;-1.6
