bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
94081CI0008_01;1.0;1.0;1.0;0.0168112364603;0.00127710385399;0.000400408362385
94081CI0010_01;1.0;1.0;2.1;0.0234102014157;0.00125541835132;0.00100010109952
94081CI0011_01;1.0;1.0;2.1;0.0234141190944;0.0011879921939;0.00100060333309
94081CI0012_01;1.0;1.0;1.0;0.0205353740887;0.0012554184785;0.000649838704603
94081CI0016_01;1.0;1.0;1.0;0.00447899556247;0.000583766962332;0.000275131180073
94081CI0178_02;1.0;2.0;1.0;3.23346327915e-06;1.02726102169e-06;2.20235408311e-06
94081CL0140_02;1.0;2.0;1.0;0.00288944135948;0.000495806058211;0.000349654368433
94028BC0117_01;2.0;2.0;2.1;0.0118386363536;0.00110721327255;0.000268894953723
94028BC0310_06;2.0;3.0;1.0;0.000872172806562;0.000131248621323;8.77410587979e-05
94028BC0259_01;1.0;2.0;1.0;0.0098559494147;0.000835437275472;0.000266831678311
94028BC0255_03;1.0;1.0;2.1;0.0163558390158;0.00190490436094;0.000670943979473
94028BC0255_05;1.0;1.0;1.0;0.000113440708446;2.80812197211e-05;4.23750739154e-05
94028BE0523_01;1.0;1.0;1.0;1.90475143863e-07;5.87508106663e-08;1.40681187064e-07
94028BE0516_01;1.0;1.0;1.0;0.00612628834044;0.000455486205952;0.00011334255358
94028BE0518_05;1.0;1.0;1.0;0.00686183208745;0.000341412464507;0.000231470837971
94028BE0493_01;1.0;1.0;1.0;0.00664867208064;0.000320246037035;0.000218492810012
94028BE0534_01;1.0;2.0;1.0;0.000163876187704;3.10116592252e-05;3.6761710249e-05
94028BE0188_01;1.0;2.0;1.0;0.0068229610823;0.000569562098549;0.000146739649168
94002AE0083_01;1.0;1.0;1.0;0.00241713922186;0.00018696401651;5.37416130611e-05
94002AJ0086_01;1.0;1.0;1.0;0.00722099504073;0.000234694755016;0.00017706044678
94002AK0073_01;1.0;1.0;1.0;0.00027154679699;4.23430257345e-05;4.21324664508e-05
94081DI0027_08;1.0;1.0;1.0;0.0164377196015;0.000701920842979;0.000542140135322
94028BC0310_03;1.0;1.0;1.0;2.49299969629e-06;6.1275894175e-07;1.22410511327e-06
94028BF0210_01;1.0;1.0;1.0;0.000818011796976;0.000112443875946;9.29819504947e-05
94028BF0283_05;1.0;2.0;1.0;0.0088690891215;0.000462821636854;0.000163064521181
94028BF0273_03;1.0;1.0;1.0;0.00826020801137;0.000355864203384;0.000223010908659
94028BF0234_01;1.0;1.0;1.0;0.00969350851854;0.000382776571666;0.00029754372231
94046BH0036_03;2.0;3.0;1.0;1.56072921411e-05;2.51081088604e-06;4.04118508643e-06
94046BI0001_03;1.0;2.0;1.0;0.00921697616661;0.00031732226837;0.000241471640294
94046BI0025_01;1.0;2.0;1.0;0.000135591006292;1.93937281172e-05;2.18408145135e-05
94002AF0051_01;1.0;1.0;1.0;0.00420131054159;0.00015471239814;0.000111502304349
94081DI0027_15;1.0;2.0;1.0;5.45013985795e-10;1.81062185464e-10;5.48301897382e-10
94028BE0644_01;2.0;3.0;1.0;0.000156703503932;2.79699082412e-05;2.90526477397e-05
94028BF0253_01;1.0;2.0;1.0;0.00175168283514;0.000239540257285;0.00013985843656
94028BF0258_01;1.0;1.0;1.0;3.91666250143e-05;7.98035005141e-06;1.07189363028e-05
94028BF0258_02;1.0;1.0;1.0;7.07020430395e-05;1.36591174402e-05;1.66372978853e-05
94028BF0252_01;1.0;2.0;1.0;0.00710111893273;0.00035177655583;0.000226456452459
94028BF0087_02;2.0;3.0;1.0;4.19989293666e-05;8.68064477001e-06;1.28504754729e-05
94028BF0087_01;2.0;3.0;1.0;0.000250417041511;4.05568157464e-05;4.43673963249e-05
94028BF0283_01;1.0;2.0;1.0;0.00459937505322;0.00033583785821;8.07236148671e-05
94028BF0272_01;1.0;1.0;1.0;0.00850838367208;0.000353644528753;0.000255952940148
94028BF0272_02;1.0;1.0;1.0;0.00145627678947;0.000171478075373;9.9698176877e-05
94028BF0157_02;1.0;2.0;1.0;5.84700583382e-05;9.15923311803e-06;1.21660343561e-05
94028BF0159_01;1.0;1.0;1.0;0.0104365643639;0.000401034133095;0.000247787465885
94028BF0159_02;1.0;2.0;1.0;0.00340686664774;0.000280327223211;0.00011754968143
94028BF0158_01;1.0;1.0;1.0;0.0104365602243;0.000401034173477;0.000247787180255
94046BH0029_01;1.0;1.0;1.0;0.00987574080467;0.000344495392261;0.000261747372169
94046BH0030_02;2.0;3.0;2.1;0.0101465548053;0.000356030821447;0.000270642276339
94046BH0031_02;1.0;2.0;1.0;0.00613980402742;0.000356941990524;0.000110054637778
94046BH0033_01;2.0;3.0;1.0;2.26450288808e-05;3.56379134478e-06;5.53658106394e-06
94046BH0037_01;2.0;3.0;1.0;0.00660750515001;0.000343918980921;0.000104511547689
94046BH0053_02;1.0;1.0;1.0;0.000461877402158;5.64885990607e-05;5.42785088684e-05
94046BH0037_03;2.0;3.0;1.0;0.000386658318499;4.64249360194e-05;4.64609018735e-05
94046BH0038_01;1.0;1.0;1.0;0.00973984953096;0.000320173859956;0.000207016992078
94046BH0042_02;1.0;1.0;1.0;0.0047919204555;0.00030937975033;8.28189044836e-05
94046BI0001_04;1.0;2.0;1.0;0.00191977004261;0.000176476421355;9.61437552392e-05
94046BI0001_05;1.0;2.0;1.0;0.00787444373248;0.00031732317184;0.000142070719202
94046BI0036_01;2.0;3.0;1.0;0.00502647896391;0.000262142645426;4.18434065356e-05
94002AF0060_01;1.0;1.0;1.0;0.00556318868047;0.000148025204088;0.000143863164738
94002AF0137_01;1.0;1.0;1.0;0.00328848524343;0.00017824489636;4.52788532011e-05
94002AF0161_01;1.0;1.0;1.0;0.00336792297465;0.000184504741592;5.05047354889e-05
94002AF0128_01;1.0;1.0;1.0;0.00343147415216;0.000185917901317;4.86024635785e-05
94002AF0057_01;1.0;1.0;1.0;0.00359138639592;0.000171714894886;5.08033750815e-05
94002AF0051_02;1.0;1.0;1.0;0.00192093759017;0.000140014332197;4.71636678069e-05
94002AF0054_01;1.0;1.0;1.0;0.00320660809992;0.000149096464032;4.43848210965e-05
94002AF0055_01;1.0;1.0;1.0;0.0029760568709;0.000147883544246;4.2192941403e-05
94002AF0155_01;1.0;2.0;1.0;0.00252282217089;0.000161074373302;4.23635713614e-05
94002AF0156_01;1.0;1.0;1.0;0.00222302660567;0.000138996945674;3.96928470336e-05
94002AF0034_01;1.0;2.0;1.0;0.00408356828445;0.000169858595546;8.22050555401e-05
94002AF0035_01;1.0;2.0;1.0;0.002346733925;0.000152820147728;4.03563502441e-05
94002AF0031_01;1.0;1.0;1.0;0.000897877358764;8.76932904343e-05;4.07956520752e-05
94002AF0033_01;1.0;1.0;1.0;0.00488317319564;0.000120063312805;0.000136249252036
94002AF0125_01;1.0;1.0;1.0;0.00460311781877;0.000142801739332;0.000120680299486
94002AF0134_01;1.0;1.0;1.0;0.00126472237402;0.000111808202915;4.55106763129e-05
94002AE0174_01;1.0;1.0;1.0;0.00211397476527;0.000149875072351;4.92333615167e-05
94002AE0175_01;1.0;1.0;1.0;0.00390502386564;0.000200644265529;5.20341806131e-05
94002AE0087_01;1.0;1.0;1.0;0.00292470461472;0.000180064826417;4.80131877432e-05
94002AE0088_01;1.0;1.0;1.0;0.00373979282696;0.000180539389422;6.644241515e-05
94002AE0088_02;1.0;1.0;1.0;0.00379322105037;0.000180539380447;7.05672413649e-05
94002AE0099_01;1.0;1.0;1.0;0.0050505788304;0.000204016382922;0.000135815308471
94028BC0310_04;1.0;2.0;1.0;0.000231632087156;4.23270153465e-05;4.20129461405e-05
94028BC0310_07;1.0;2.0;1.0;3.26942344203e-05;6.94152134644e-06;1.10395392633e-05
94028BC0310_05;1.0;2.0;1.0;0.000663748319417;0.000109185922805;8.1328131553e-05
94028BC0276_01;2.0;2.0;2.1;0.0106999995275;0.00105539543707;0.000362793930086
94028BC0281_01;2.0;3.0;2.1;0.00547509355577;0.000694622952402;0.000207789224167
94028BC0277_02;2.0;2.0;2.1;0.0131769320198;0.00115086890195;0.000250123622305
94028BC0310_01;1.0;2.0;1.0;0.00806790210063;0.000704337220908;0.000174048121187
94028BC0310_08;1.0;2.0;1.0;3.72007730463e-05;9.41471547235e-06;1.44647703908e-05
94028BC0300_01;1.0;1.0;1.0;0.00466326751895;0.000756132402258;0.000392403786254
94028BC0255_02;1.0;1.0;2.1;0.0126485156365;0.00155651911349;0.00058068181492
