PK;bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
2126208.0;94081DJ0131_12;1.0;1.0;1.0;3.640348381481292e-05;8.755660599180923e-06;1.4420098251245299e-05
2126208.0;94081DJ0131_05;1.0;2.0;1.0;0.014611296591783179;0.0007414173156574928;0.0005865312077386673
2126208.0;94081DJ0131_11;1.0;1.0;1.0;3.6152673151919445e-06;9.936081070029307e-07;1.984311621448957e-06
2126218.0;94081DJ0131_12;1.0;1.0;1.0;3.3449870951626376e-05;8.15032422344782e-06;1.3560440239553522e-05
2126218.0;94081DJ0131_05;1.0;2.0;1.0;0.014614393000003863;0.0007473346766381868;0.0005918823740394531
2126228.0;94081DJ0131_12;1.0;1.0;1.0;3.205373189227608e-05;7.861451704609875e-06;1.3146918008798414e-05
2126228.0;94081DJ0131_05;1.0;2.0;1.0;0.014619611319344939;0.0007504934172072103;0.0005947431776680454
2126238.0;94081DJ0131_05;1.0;2.0;1.0;0.014613487943900999;0.000753304056308826;0.0005974103507905559
2126248.0;94081DJ0131_05;1.0;2.0;1.0;0.014291122280236155;0.0007419129695604171;0.0005890477329607898
2126258.0;94081DJ0131_05;1.0;2.0;1.0;0.014599699073842136;0.0007541170515944699;0.0005983141653467203
2126348.0;94081DJ0135_01;1.0;2.0;1.0;1.507982292736004e-06;4.6537459011290755e-07;1.024485447864632e-06
2126348.0;94081DJ0090_01;1.0;1.0;1.0;0.016339313533446725;0.000987182646194494;0.0005412541457832441
2126348.0;94081DJ0092_01;1.0;1.0;2.1;0.0186726973353408;0.0009901629059338108;0.0008027813449900848
2126358.0;94081DJ0135_01;1.0;2.0;1.0;1.12890004722816e-06;3.587203300712153e-07;8.07095528792135e-07
2126358.0;94081DJ0090_01;1.0;1.0;1.0;0.016089276164767352;0.0009929245760962055;0.0005380651703651748
2126358.0;94081DJ0092_01;1.0;1.0;2.1;0.018457296252971312;0.0009992400950882656;0.0008095303914203935
2126358.0;94081DJ0122_01;1.0;1.0;1.0;2.9128706186803016e-10;1.2440221504907497e-10;4.0517362837157657e-10
2126358.0;94081DJ0124_01;1.0;1.0;1.0;1.0924316608812183e-06;3.4681974465582294e-07;7.793818818691565e-07
2126368.0;94081DJ0135_01;1.0;2.0;1.0;1.3778452087478605e-06;4.2898541125692247e-07;9.506247651102111e-07
