ID_bati;Typologie;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base
94081CK0204_01;building;None;None;None;None;2150760.02279;2150773.56044;9.79731120398;23.1870012326;1.0;1.0;1.0;8.93275352499;0.640210039626;0.166579786272;1.0;1.0;8.93275352499;0.640210039626;0.166579786272
94081CK0022_01;building;None;None;None;None;2150766.2756;2150778.84465;-33.622413357;-21.0437512911;1.0;1.0;1.0;2.72846387152;0.365954926126;0.163979348255;1.0;1.0;2.72846387152;0.365954926126;0.163979348255
94081CK0203_01;building;None;None;None;None;2150767.95545;2150782.22987;14.6207836251;28.0037264622;1.0;1.0;1.0;5.97094332345;0.596276684449;0.167704612011;1.0;1.0;5.97094332345;0.596276684449;0.167704612011
94081CJ0100_04;building;None;None;None;None;2150762.72524;2150798.92737;-104.687276737;-46.2675771228;2.0;1.0;1.0;0.0240823846403;0.0058582188624;0.00895907284678;1.0;1.0;0.0240823846403;0.0058582188624;0.00895907284678
94081CK0021_01;building;None;None;None;None;2150780.03791;2150787.2709;-25.7500849534;-17.1208348191;1.0;1.0;1.0;4.49452701086;0.511072143087;0.165049309705;1.0;1.0;4.49452701086;0.511072143087;0.165049309705
94081CK0056_01;building;None;None;None;None;2150773.83097;2150798.9162;6.03395887913;38.5744804517;1.0;1.0;1.0;11.108376141;0.63878105686;0.269623138518;1.0;1.0;11.108376141;0.63878105686;0.269623138518
94081CK0020_01;building;None;None;None;None;2150784.94413;2150795.62192;-27.661605968;-8.19329131051;1.0;1.0;1.0;9.84043881773;0.634272057121;0.171780139291;1.0;1.0;9.84043881773;0.634272057121;0.171780139291
94081CK0190_01;building;None;None;None;None;2150788.49105;2150800.74938;28.0103401446;40.2388639687;1.0;1.0;1.0;0.973149153623;0.161398080881;0.12218297769;1.0;1.0;0.973149153623;0.161398080881;0.12218297769
94081CK0018_01;building;None;None;None;None;2150798.23815;2150808.33916;-8.44440742155;1.70177409258;1.0;1.0;1.0;12.731824911;0.600535142797;0.41273115779;1.0;1.0;12.731824911;0.600535142797;0.41273115779
94081CK0019_01;building;None;None;None;None;2150790.56113;2150804.09603;-20.6137772035;-3.35313102524;1.0;1.0;1.0;12.1975316502;0.638781047421;0.364178773468;1.0;1.0;12.1975316502;0.638781047421;0.364178773468
