ID_bati;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base;Classe de dommage - Vibration;Vulnérablité - Vibration;Vitessse de vibration
94028BC0255_04;2122984.95098;2122995.85996;-43.6052311557;-30.3258887577;None;None;None;None;1.0;1.0;1.0;0.0146810242676;0.00370453618774;0.00600187847492;1.0;1.0;0.0146810242676;0.00370453618774;0.00600187847492;1.0;1.0;0.0550168193881
94028BC0255_05;2122915.74494;2122932.82512;-52.3868125836;-36.2713409857;None;None;None;None;1.0;1.0;1.0;0.0508131891706;0.0126487875298;0.0183444508192;1.0;1.0;0.0508131891706;0.0126487875298;0.0183444508192;1.0;1.0;0.0658464508033
94028BC0259_01;2122732.20585;2122758.28009;-26.8505353637;-8.37889525855;None;None;None;None;2.0;1.0;1.0;4.92516225278;0.417480240659;0.133339697123;1.0;1.0;4.92516225278;0.417480240659;0.133339697123;1.0;1.0;0.210876213751
94028BC0276_01;2122434.88009;2122632.30071;7.65077432138;97.2514864102;None;None;None;None;2.0;1.0;1.0;6.11666584886;0.593827144493;0.18131346386;1.0;1.0;6.11666584886;0.593827144493;0.18131346386;1.0;1.0;0.611097824157
94028BC0277_01;2122513.12863;2122541.83179;7.31372921012;47.3922638335;None;None;None;None;2.0;1.0;1.0;11.0743052806;0.977854707665;0.217345769506;1.0;1.0;11.0743052806;0.977854707665;0.217345769506;1.0;1.0;0.441753460581
94028BC0277_02;2122537.64841;2122572.99296;15.0491653947;35.7777645508;None;None;None;None;2.0;1.0;1.0;4.50700301153;0.634046291391;0.217346577789;1.0;1.0;4.50700301153;0.634046291391;0.217346577789;1.0;1.0;0.218575827272
94028BC0281_01;2122430.17769;2122492.00013;15.2067215055;47.4668531758;None;None;None;None;3.0;1.0;2.0;3.85351737436;0.488894223986;0.146247616945;1.0;2.0;3.85351737436;0.488894223986;0.146247616945;1.0;2.0;0.205911574605
94028BC0300_01;2122927.25536;2122965.97222;19.7360930467;50.287759299;None;None;None;None;1.0;1.0;1.0;2.08427886405;0.33944012898;0.162718044524;1.0;1.0;2.08427886405;0.33944012898;0.162718044524;1.0;1.0;0.142773624181
94028BC0300_02;2122943.39057;2122953.34214;18.1004410292;19.8226298315;None;None;None;None;1.0;1.0;1.0;2.09916769157;0.315398682001;0.169719944521;1.0;1.0;2.09916769157;0.315398682001;0.169719944521;1.0;1.0;0.126015932834
94028BC0310_01;2122515.36388;2122585.91025;-46.6233168073;-9.57367933879;None;None;None;None;2.0;1.0;1.0;3.80538003858;0.338504762916;0.0763931551097;1.0;1.0;3.80538003858;0.338504762916;0.0763931551097;1.0;1.0;0.269448290541
94028BC0310_02;2122280.8654;2122312.33353;-71.0990737604;-47.4119602776;None;None;None;None;1.0;1.0;1.0;0.0229091325958;0.00477117689067;0.00673818765464;1.0;1.0;0.0229091325958;0.00477117689067;0.00673818765464;1.0;1.0;0.0461542177642
94028BC0310_03;2122285.70982;2122350.90157;-101.255198803;-60.3225794693;None;None;None;None;1.0;1.0;1.0;0.00124055469554;0.000305118936157;0.000612411601903;1.0;1.0;0.00124055469554;0.000305118936157;0.000612411601903;1.0;1.0;0.0334327354501
94028BC0310_04;2122343.90692;2122411.11776;-113.705865235;-37.4913162531;None;None;None;None;2.0;1.0;1.0;0.152044728418;0.0277880897419;0.0287474017363;1.0;1.0;0.152044728418;0.0277880897419;0.0287474017363;1.0;1.0;0.063290108536
94028BC0310_05;2122396.26168;2122453.89527;-107.836906585;-30.8454583767;None;None;None;None;2.0;1.0;1.0;0.357164587601;0.0587532110392;0.0437628656967;1.0;1.0;0.357164587601;0.0587532110392;0.0437628656967;1.0;1.0;0.083785340963
94028BC0310_06;2122303.05454;2122707.27965;-246.862143165;-29.9625250342;None;None;None;None;3.0;1.0;2.0;0.501470106787;0.0754635545408;0.0504481655567;1.0;2.0;0.501470106787;0.0754635545408;0.0504481655567;1.0;1.0;0.0920806744105
94028BC0310_07;2122326.82542;2122358.62772;-79.553708017;-49.0028204309;None;None;None;None;2.0;1.0;1.0;0.0218335502646;0.00464113602321;0.00728230632462;1.0;1.0;0.0218335502646;0.00464113602321;0.00728230632462;1.0;1.0;0.043147543236
94028BC0310_08;2122527.0214;2122556.47894;-63.7600006919;-39.5219674286;None;None;None;None;2.0;1.0;1.0;0.0177388072737;0.00450375965682;0.00667750476391;1.0;1.0;0.0177388072737;0.00450375965682;0.00667750476391;1.0;1.0;0.0617064313573
94028BD0046_01;2123089.09113;2123097.96718;-54.6221320562;-44.6784572898;None;None;None;None;1.0;1.0;1.0;0.00799137547727;0.00204829215356;0.00358863941467;1.0;1.0;0.00799137547727;0.00204829215356;0.00358863941467;1.0;1.0;0.0490248803485
94028BD0047_01;2123067.55208;2123078.55248;-35.2435154513;-24.6956564425;None;None;None;None;2.0;1.0;1.0;0.549596590133;0.0919039792504;0.0632632057289;1.0;1.0;0.549596590133;0.0919039792504;0.0632632057289;1.0;1.0;0.0988862026033
94028BD0048_01;2123061.46644;2123071.93146;-32.7757733134;-18.0325312733;None;None;None;None;2.0;1.0;1.0;1.58876544352;0.211887467093;0.0793965833646;1.0;1.0;1.58876544352;0.211887467093;0.0793965833646;1.0;1.0;0.131371837509
94028BD0049_01;2123048.29717;2123061.31987;-18.4580541764;-5.57728785049;None;None;None;None;3.0;1.0;2.0;5.38284102479;0.335736593087;0.13878149393;1.0;2.0;5.38284102479;0.335736593087;0.13878149393;1.0;2.0;0.219938387075
94028BD0049_02;2123048.83427;2123054.86434;-30.3133360205;-23.7128453645;None;None;None;None;1.0;1.0;1.0;0.77994025491;0.125460023148;0.094569421669;1.0;1.0;0.77994025491;0.125460023148;0.094569421669;1.0;1.0;0.0948109081378
94028BD0050_01;2123039.67484;2123052.83775;-11.0821071369;1.75065096134;None;None;None;None;3.0;1.0;2.0;6.277529339;0.346069270247;0.220580741871;1.0;2.0;6.277529339;0.346069270247;0.220580741871;1.0;2.0;0.249320155326
94028BD0055_01;2123016.79855;2123026.14051;-40.1608484679;-30.1822276901;None;None;None;None;2.0;1.0;1.0;0.223142068873;0.0449805947065;0.0470718146887;1.0;1.0;0.223142068873;0.0449805947065;0.0470718146887;1.0;1.0;0.0820401131292
94028BD0056_01;2123014.40121;2123024.23881;-31.6887866306;-22.1432690495;None;None;None;None;2.0;1.0;1.0;0.98545224934;0.166683079929;0.103741861528;1.0;1.0;0.98545224934;0.166683079929;0.103741861528;1.0;1.0;0.114969682367
94028BD0057_01;2123019.64783;2123029.14049;-3.84849635835;5.51627218654;None;None;None;None;3.0;1.0;2.0;7.83745757954;0.363875007762;0.285268535754;1.0;2.0;7.83745757954;0.363875007762;0.285268535754;1.0;2.0;0.271495289632
94028BD0057_02;2123023.70911;2123027.18116;-18.2650058603;-14.4781731887;None;None;None;None;2.0;1.0;1.0;2.75616898794;0.320167014544;0.119802780917;1.0;1.0;2.75616898794;0.320167014544;0.119802780917;1.0;1.0;0.142381155468
94028BD0058_01;2123011.11341;2123021.21595;-5.76000608317;3.40216671368;None;None;None;None;2.0;1.0;1.0;8.52186045583;0.414016267544;0.313329124536;1.0;1.0;8.52186045583;0.414016267544;0.313329124536;1.0;1.0;0.278343336111
94028BD0058_02;2123019.33833;2123024.30917;-19.2658044287;-15.9913502919;None;None;None;None;3.0;1.0;2.0;2.31549694075;0.285936840757;0.120024670275;1.0;2.0;2.31549694075;0.285936840757;0.120024670275;1.0;2.0;0.133937654763
94028BD0060_01;2123013.58507;2123023.16375;21.0800728447;29.5286933023;None;None;None;None;2.0;1.0;1.0;1.14597780145;0.187220761772;0.106149404094;1.0;1.0;1.14597780145;0.187220761772;0.106149404094;1.0;1.0;0.120672746535
94028BD0060_02;2123026.87614;2123030.51111;21.0840552785;26.7398010038;None;None;None;None;2.0;1.0;1.0;1.17119584157;0.1728450011;0.111468215738;1.0;1.0;1.17119584157;0.1728450011;0.111468215738;1.0;1.0;0.107503507155
94028BD0064_01;2123083.68951;2123098.09851;-21.5543586781;-7.89646060383;None;None;None;None;2.0;1.0;1.0;4.01221508166;0.285950061015;0.071126302346;1.0;1.0;4.01221508166;0.285950061015;0.071126302346;1.0;1.0;0.203818699266
94028BD0065_01;2123092.78113;2123102.16423;-25.9201544187;-16.0703380732;None;None;None;None;2.0;1.0;1.0;1.73187854296;0.212468281022;0.0676056180103;1.0;1.0;1.73187854296;0.212468281022;0.0676056180103;1.0;1.0;0.143570741123
94028BD0065_02;2123099.57532;2123105.60879;-30.0415906802;-23.6324742777;None;None;None;None;3.0;1.0;2.0;0.622114719432;0.0995279539752;0.0744030515493;1.0;2.0;0.622114719432;0.0995279539752;0.0744030515493;1.0;2.0;0.0951165808931
94028BD0098_01;2123067.42409;2123081.61078;-1.30062376105;15.2111409312;None;None;None;None;2.0;1.0;1.0;5.58787316317;0.302109784744;0.192554454432;1.0;1.0;5.58787316317;0.302109784744;0.192554454432;1.0;1.0;0.239914284858
94028BD0100_01;2123074.30041;2123085.12361;-7.17007305398;3.75815644985;None;None;None;None;2.0;1.0;1.0;5.58787349502;0.275877456996;0.19255448675;1.0;1.0;5.58787349502;0.275877456996;0.19255448675;1.0;1.0;0.239914284858
94028BD0100_02;2123089.19831;2123097.68656;-3.75551233539;4.80668417823;None;None;None;None;2.0;1.0;1.0;5.23573108467;0.193215067819;0.224902516948;1.0;1.0;5.23573108467;0.193215067819;0.224902516948;1.0;1.0;0.187334459844
94028BD0183_01;2123005.2091;2123015.22974;19.0420005684;27.5571540967;None;None;None;None;2.0;1.0;1.0;1.58054493327;0.240317256849;0.111596748425;1.0;1.0;1.58054493327;0.240317256849;0.111596748425;1.0;1.0;0.13277115461
94028BD0210_01;2123030.83454;2123052.74433;23.6771345112;37.8429196645;None;None;None;None;2.0;1.0;1.0;0.803226948104;0.130973452117;0.0852871187792;1.0;1.0;0.803226948104;0.130973452117;0.0852871187792;1.0;1.0;0.105521454028
94028BD0272_01;2123055.02744;2123065.40644;12.8914395658;25.1584669231;None;None;None;None;2.0;1.0;1.0;3.05320920725;0.316285723575;0.0835021956203;1.0;1.0;3.05320920725;0.316285723575;0.0835021956203;1.0;1.0;0.165554852335
94028BD0294_01;2123113.63867;2123128.32026;-43.8854868738;-26.3569719888;None;None;None;None;2.0;1.0;1.0;0.339766866193;0.059590481704;0.0460642838716;1.0;1.0;0.339766866193;0.059590481704;0.0460642838716;1.0;1.0;0.0926009907207
94028BD0295_01;2123103.74913;2123116.09594;-39.2254567476;-26.2489052593;None;None;None;None;2.0;1.0;1.0;0.362877838263;0.0634416233508;0.0486617457437;1.0;1.0;0.362877838263;0.0634416233508;0.0486617457437;1.0;1.0;0.0929946992309
94028BE0188_01;2123415.76811;2123437.85007;-35.2588114561;-13.1488613607;None;None;None;None;2.0;1.0;1.0;3.74706945675;0.308479385103;0.0793421896976;1.0;1.0;3.74706945675;0.308479385103;0.0793421896976;1.0;1.0;0.137223234599
94028BE0490_01;2123302.46108;2123339.54441;9.98572077339;48.1994154544;None;None;None;None;1.0;1.0;1.0;2.37476247451;0.175490002438;0.038405182696;1.0;1.0;2.37476247451;0.175490002438;0.038405182696;1.0;1.0;0.208927609915
94028BE0490_02;2123303.85647;2123319.52718;16.0500555333;27.9720332841;None;None;None;None;1.0;1.0;1.0;1.38120461788;0.141252219582;0.0384052133755;1.0;1.0;1.38120461788;0.141252219582;0.0384052133755;1.0;1.0;0.148343135905
94028BE0493_01;2123342.00898;2123359.00932;-5.40135664299;10.5726277402;None;None;None;None;1.0;1.0;1.0;3.43851485986;0.170274711295;0.103826353691;1.0;1.0;3.43851485986;0.170274711295;0.103826353691;1.0;1.0;0.265705544162
94028BE0516_01;2123129.61308;2123175.32896;5.73823320594;47.7201521772;None;None;None;None;1.0;1.0;1.0;3.85148925196;0.242001487439;0.0975813657197;1.0;1.0;3.85148925196;0.242001487439;0.0975813657197;1.0;1.0;0.21907608731
94076AZGARE_01;2129937.02851;2129938.0;10.2960467923;84.0758886488;None;None;None;None;3.0;2.1;2.0;7.83747845102;0.535270150902;0.162600094638;2.1;2.0;7.83747845102;0.535270150902;0.162600094638;1.0;2.0;0.122917101121
940280N0114_04;2122088.0;2122088.0;131.970536564;164.473595576;None;None;None;None;1.0;1.0;1.0;7.27280649826e-17;3.80754773388e-17;1.87434206991e-16;1.0;1.0;7.27280649826e-17;3.80754773388e-17;1.87434206991e-16;1.0;1.0;0.0111712911396
94081CO0175_01;2127631.56557;2127635.6569;27.0345408281;31.7565229014;None;None;None;None;1.0;1.0;1.0;2.84718330305;0.221687693499;0.0667674005045;1.0;1.0;2.84718330305;0.221687693499;0.0667674005045;1.0;1.0;0.0710139065732
94081BTVL10_01;2127633.60764;2127636.33784;25.6994778242;29.6845978236;None;None;None;None;2.0;1.0;1.0;4.56800054524;0.174185094626;0.0971347154146;1.0;1.0;4.56800054524;0.174185094626;0.0971347154146;1.0;1.0;0.0821804682768
94081XX00T9_01;2127654.6539;2127659.02248;-5.15803175229;1.00097042334;None;None;None;None;2.0;1.0;1.0;16.4065984004;0.914649419346;0.739629791003;1.0;1.0;16.4065984004;0.914649419346;0.739629791003;1.0;1.0;0.271495289632
94081XXVL10_01;2127650.17408;2127652.15337;4.76756903793;7.29377076473;None;None;None;None;2.0;1.0;1.0;6.86485210687;0.897998627164;0.270539062527;1.0;1.0;6.86485210687;0.897998627164;0.270539062527;1.0;1.0;1.15311479407
94081CJ0255_02;None;None;None;None;2151025.17851;2151042.64744;-7.2285623747;11.2241659805;1.0;1.0;1.0;11.454554172;0.736570001421;0.450003533698;1.0;1.0;11.454554172;0.736570001421;0.450003533698;1.0;1.0;0.328763946733
94081CM0075_01;None;None;None;None;2150378.48687;2150382.12253;-53.2658918847;-40.5279492011;1.0;1.0;1.0;0.0441853424216;0.0100791761463;0.0124526450267;1.0;1.0;0.0441853424216;0.0100791761463;0.0124526450267;1.0;1.0;0.0621820153847
