ID;Descrizione;PK;x;y;top;base
DEM;DEM;2336.58;2527374.08;4151267.23;33.04;33.04
Lbb (5);Lbb;2336.58;2527374.08;4151267.23;33.04;27.40
Bvlc (14);Bvlc;2336.58;2527374.08;4151267.23;27.40;27.25
Sb (12);Sb;2336.58;2527374.08;4151267.23;27.25;25.81
Sbl (2);Sbl;2336.58;2527374.08;4151267.23;25.81;7.28
P;P;2336.58;2527374.08;4151267.23;7.28;5.41
Sb (13);Sb;2336.58;2527374.08;4151267.23;5.41;2.09
Sbl (13);Sbl;2336.58;2527374.08;4151267.23;2.09;1.34
Agm (2);Agm;2336.58;2527374.08;4151267.23;1.34;-13.11
DEM;DEM;2346.58;2527364.08;4151267.07;33.52;33.52
Lbb (5);Lbb;2346.58;2527364.08;4151267.07;33.52;27.36
Bvlc (14);Bvlc;2346.58;2527364.08;4151267.07;27.36;26.75
Sb (12);Sb;2346.58;2527364.08;4151267.07;26.75;25.31
Sbl (2);Sbl;2346.58;2527364.08;4151267.07;25.31;7.29
P;P;2346.58;2527364.08;4151267.07;7.29;5.26
Sb (13);Sb;2346.58;2527364.08;4151267.07;5.26;2.98
Sbl (13);Sbl;2346.58;2527364.08;4151267.07;2.98;2.16
Agm (2);Agm;2346.58;2527364.08;4151267.07;2.16;-12.77
DEM;DEM;2356.58;2527354.09;4151266.57;33.31;33.31
Lbb (5);Lbb;2356.58;2527354.09;4151266.57;33.31;27.19
Bvlc (14);Bvlc;2356.58;2527354.09;4151266.57;27.19;25.80
Sb (12);Sb;2356.58;2527354.09;4151266.57;25.80;24.53
Sbl (2);Sbl;2356.58;2527354.09;4151266.57;24.53;7.36
P;P;2356.58;2527354.09;4151266.57;7.36;5.13
Sb (13);Sb;2356.58;2527354.09;4151266.57;5.13;3.78
Sbl (13);Sbl;2356.58;2527354.09;4151266.57;3.78;2.88
Agm (2);Agm;2356.58;2527354.09;4151266.57;2.88;-12.45
DEM;DEM;2366.58;2527344.12;4151265.74;33.18;33.18
