bldg_code;depth_fondation;z_fondation;elev_med;height_overground;typology;sc_lev;pk_min;pk_max;d_min;d_max
76_2;1.64;35.75;37.38525487;35.75;building;1;3716.528488;3747.91775;-13.948892;16.80867732
76B;4.68;35.75;40.43446501;6.5;building;1;3698.669067;3708.341102;6.196160261;18.53443824
77;0;35.65;35.60913515;4.5;building;1;3722.905612;3765.487832;-36.01769577;-4.819236356
78;1.60;39.7;41.29838972;26;building;1;3746.559559;3806.486263;6.966560683;47.35193385
79;0;44.85;43.35282019;17;building;1;3811.466698;3837.838697;21.53682448;56.29019235
80;0;39;38.64392331;28;building;1;3798.28975;3826.180277;-24.85967044;-6.577932113
81;0;42.5;41.43207681;25.5;building;1;3833.703146;3861.361179;-8.136467672;10.28919758
82;1.19;37.3;38.49023512;29;building;1;3850.551303;3878.535908;-53.67183328;-24.38850962
83;0.97;45;45.9705596;22.5;building;1;3874.709413;3903.534371;10.70136062;31.08271187
84;3.52;40.5;44.0248166;25;building;1;3891.28269;3920.011524;-23.38389208;-3.24930821
85;0.92;45.65;46.57401613;20.5;building;1;3909.931283;3947.058965;-10.42559593;44.00208576
86;0;43.5;41.75357866;24;building;1;3943.780598;3955.395316;-52.23236898;-23.87304551
87;0;45.45;43.75769192;14.5;building;1;3984.852651;4028.717221;-32.57114966;17.34874551
88;2.23;37.9;40.1305472;12;building;1;4014.287103;4058.115097;-62.92458165;-31.02060674
89;5.07;35.35;40.41772114;20.5;building;1;4070.37792;4095.957541;-42.49579118;-13.84791299
90;0;45.5;43.07573327;17.5;building;1;4056.815382;4115.544225;2.840994953;49.13571603
91;2.44;38.4;40.84011359;5.5;building;1;4094.873088;4125.4025;-40.3616432;31.09707551
92;1.60;38.15;39.75363929;18.5;building;1;3676.621232;3697.624357;11.62910387;56.42171829
93;1.22;37.5;38.71767646;4;building;1;3694.673277;3714.445259;24.19854879;46.10225252
