ID;Descrizione;PK;excav_diameter;bead_thickness;taper;tail_skin_thickness;delta;gamma_muck;shield_length;pressure_max
TBM1;TBM Unica di Progetto;3846.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3856.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3866.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3876.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3886.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3896.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3906.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3916.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3926.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3936.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3946.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3956.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3966.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3976.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3986.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3996.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4006.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4016.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4026.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4036.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4046.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4056.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4066.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4076.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4086.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4096.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4106.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4116.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4126.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4136.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4146.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4156.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4166.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4176.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4186.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4196.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4206.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4216.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4226.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4236.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4246.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4256.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4266.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4276.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4286.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4296.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4306.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4316.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4326.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4336.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4346.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4356.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4366.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;4376.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
