Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
24;2718.079847;2753.63422;18.22228771;56.36123661;1.0;1.0;1.0;6.49812563767;0.885960263859;0.373973313974;0.00717858730401;300.0;393.535;0.43520942573;1.0;1.0;6.49812563767;0.885960263859;0.373973313974
25;2722.589491;2784.304092;-34.73250739;31.27097736;1.0;2.1;1.0;24.4783072075;1.31543912664;1.05077765439;0.00723291295131;300.0;393.535;0.43520942573;2.1;1.0;24.4783072075;1.31543912664;1.05077765439
25A;2760.103509;2790.956949;-16.02389621;21.53249196;1.0;2.2;2.0;30.5289413147;1.73499844632;1.07510716529;0.00811084541153;300.0;372.13;0.419894610293;2.2;2.0;30.5735882799;1.76756708713;1.11951952663
26;2767.483147;2787.718373;26.37274679;52.56483178;1.0;1.0;1.0;1.25831920129;0.234865298313;0.205886161994;0.00552016040484;300.0;369.865;0.413497747364;1.0;1.0;1.25831920129;0.234865298313;0.205886161994
27;2779.641401;2809.318566;5.974748709;45.23229218;1.0;1.0;1.0;14.0146283925;0.940250436088;0.391635257622;0.00445184752871;300.0;369.205;0.40633202774;1.0;1.0;14.0146283925;0.940250436088;0.391635257622
28;2797.530408;2850.675941;-10.71323881;50.57754111;1.0;1.0;1.0;12.6955846973;0.732859305764;0.483289099551;0.00323373145181;270.0;369.2;0.392370741617;1.0;1.0;12.6955846973;0.732859305764;0.483289099551
29;2831.065797;2886.951963;8.465333836;66.87353996;1.0;1.0;1.0;2.69094995294;0.231728109557;0.0595364561997;0.000962250224775;250.0;418.12;0.376563518106;1.0;1.0;2.69094995294;0.231728109557;0.0595364561997
30;2851.480829;2874.013658;3.006989412;23.60212013;1.0;1.0;1.0;2.37837304861;0.148428580596;0.0855952764466;0.000605400070121;250.0;377.35;0.37113746158;1.0;1.0;2.37837304861;0.148428580596;0.0855952764466
31;2779.353107;2832.577377;-49.17541795;-2.920480571;1.0;1.0;1.0;16.7338741899;1.00562682503;0.549581650164;0.00454442569433;300.0;369.205;0.40633202774;1.0;1.0;18.0193100631;1.09050194876;0.59898148932
32;2818.821224;2862.323371;-30.16105699;-3.962852383;1.0;1.0;1.0;15.5345694804;1.02190630047;0.487817563666;0.00413465382811;250.0;362.47;0.385420663842;1.0;1.0;15.5345694804;1.02190630047;0.487817563666
33;2860.099735;2898.016069;-43.62212671;17.74889625;1.0;1.0;1.0;1.97290098173;0.116424337943;0.100863881705;0.000490642030693;250.0;438.82;0.37113746158;1.0;1.0;1.97290098173;0.116424337943;0.100863881705
34;2905.211366;2919.959167;21.92569599;33.58257741;1.0;1.0;1.0;0.174487966265;0.02619096281;0.0215593024606;0.000323576294984;240.0;450.43;0.358010129623;1.0;1.0;0.174487966265;0.02619096281;0.0215593024606
35;2912.493585;2941.646592;-45.56533224;19.94295187;1.0;1.0;1.0;1.14181702754;0.064840007308;0.052205400594;0.000291898545768;240.0;450.43;0.350498442679;1.0;1.0;1.14181702754;0.064840007308;0.052205400594
36;2939.118783;2969.1015;26.73508059;60.35878578;1.0;1.0;1.0;0.0737767872135;0.012200786485;0.0101692168142;0.000256026513844;240.0;450.43;0.337568393237;1.0;1.0;0.0737767872135;0.012200786485;0.0101692168142
37;2984.62478;2993.996008;11.64548931;38.65879333;1.0;1.0;1.0;0.489266542784;0.0468448400094;0.0127919185533;0.000234534582368;240.0;458.44;0.336090029951;1.0;1.0;0.489266542784;0.0468448400094;0.0127919185533
38;2946.994427;3005.902967;-55.48035158;3.823003212;1.0;1.0;1.0;1.26595741195;0.0660809411366;0.0565485704449;0.000358499438318;240.0;458.44;0.337568393237;1.0;1.0;1.26595741195;0.0660809411366;0.0565485704449
39;3004.589972;3018.206658;1.48715289;15.68253739;1.0;1.0;1.0;0.883582135741;0.0468825456446;0.0305183217092;0.000245001610349;240.0;458.44;0.332211563421;1.0;1.0;0.883582135741;0.0468825456446;0.0305183217092
40;3006.687846;3020.916504;-42.94438543;-1.99351405;1.0;1.0;1.0;0.948745351312;0.0504372932285;0.034076990055;0.00026818918071;240.0;458.44;0.332211563421;1.0;1.0;0.948745351312;0.0504372932285;0.034076990055
41;3020.819137;3056.963353;23.57189862;44.59553594;1.0;1.0;1.0;0.167611709961;0.0249106082628;0.0166370305779;0.000341256021419;240.0;458.44;0.340492901355;1.0;1.0;0.167611709961;0.0249106082628;0.0166370305779
42;3051.640462;3075.138686;-22.81216214;5.448141757;1.0;1.0;1.0;1.39875962548;0.0740118147797;0.0487654258525;0.000382309502151;230.0;456.04;0.340492901355;1.0;1.0;1.39875962548;0.0740118147797;0.0487654258525
